ID,Время начала,Время выполнения,Укажите ваш возраст:,Укажите ваш пол:,"Укажите ВУЗ, где вы учитесь:","0 - вуз мегаполисный, 1 - вуз региональный",Укажите профиль вашего образования:,"0 - гуманитарный, 1 - технический",Следите ли вы за политическими новостями?,"Считаете ли вы информацию, предоставляемую СМИ, достоверной?","Как вы думаете, оказывает ли владелец СМИ влияние на публикуемые материалы?",Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,Баллы — Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,"Сравниваете ли вы информацию в разных СМИ, если она вызывает у вас сомнения?",Доверяете ли вы экспертным мнениям в СМИ?,В поисках информации о политических событиях вы отдаёте предпочтение информации в СМИ или мнениям политиков в их личных микроблогах?,"Реагируете ли вы в социальных сетях и блогах на политические новости? ( комментируете, репостите, лайкаете и т.п.)",Слышали ли вы о медиаграмотности?,Слышали ли вы о фактчекинге?,Слышали ли вы о фейкньюз?,Пытаетесь ли вы найти первоисточник интересующей вас новости?,"Согласны ли вы, что СМИ при подаче новостей используют манипулятивные приёмы?","Как вы считаете политические ток-шоу на телевидении и на видеохостингах (60 минут, Навальный LIVE, Вечер с Владимиром Соловьёвым и т.д. и т.п.) носят серьёзный характер или это больше развлекатель...","Как вы считаете, подача информации в СМИ носит агрессивный характер?","Как вы считаете должны ли детей в школе учить разбираться в том, как отличать правдивую и ложную информацию в СМИ?"
1,1/18/21 21:12:09,1/18/21 21:15:42,21,Мужской,СГЮА,1,гуманитарный,0,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
2,1/18/21 21:16:56,1/18/21 21:22:55,18,Мужской,СХУ им. Боголюбова,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Только в интересах владельца,,Нет,Не доверяю,"Скорее политикам, чем СМИ",Скорее часто,Не слышал,Не слышал,Слышал,Мне всё равно,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
3,1/18/21 22:27:33,1/18/21 22:30:50,20,Мужской,Саратовский Государственный Университет,1, технический,1,Скорее слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,"Скорее СМИ, чем политикам",Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
4,1/18/21 23:56:36,1/18/21 23:58:58,24,Мужской,Иннополис,1, технический,1,Постоянно слежу,Безусловно не считаю,Скорее всего оказывает,Только в интересах владельца,,Скорее да,Не доверяю,Политикам,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
5,1/31/21 21:33:29,1/31/21 21:35:57,23,Мужской,Иннополис,1, технический,1,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,Только в интересах владельца,,Всегда,Скорее не доверяю,"Скорее политикам, чем СМИ",Никогда,Не слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Несерьёзный характер, там обсуждаются неважные вопросы",Иногда скорее агрессивный,"Да, должны"
6,2/1/21 11:41:32,2/1/21 11:44:04,24,Женский,Саратовский социально-экономический университитет,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
7,2/1/21 12:05:16,2/1/21 12:08:58,20,Женский,Санкт-Петербургский Государственный Университет,0,гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Скорее доверяю,"Скорее СМИ, чем политикам",Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
8,2/1/21 12:57:35,2/1/21 12:59:54,19,Женский,СПбГУ,0,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее СМИ, чем политикам",Всегда,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Скорее да, должны"
9,2/1/21 13:10:45,2/1/21 13:14:03,20,Женский,СПБГУ ВШЖИК,0,гуманитарный,0,Постоянно слежу,Скорее не считаю,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Скорее доверяю,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Несерьёзный характер, там обсуждаются неважные вопросы",Скорее неагрессивный,"Да, должны"
10,2/1/21 13:57:49,2/1/21 14:00:49,16,Женский,СГУ им. Чернышевского ,1,скорее технический,1,Постоянно не слежу,Затрудняюсь ответить,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Не доверяю,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Не слышал,Слышал,Затрудняюсь ответить,Скорее согласен,"Скорее серьёзный, чем развлекательный",Неагрессивный,"Скорее да, должны"
11,2/1/21 14:56:14,2/1/21 14:58:00,18,Женский,СГУ им. Чернышевского ,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Скорее не доверяю,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
